timestamps,TP9,AF7,AF8,TP10,Right AUX,,,,,,,,,,,,,,,,
1533222560,59.105,28.32,15.137,12.207,54.199,,,,,,,,,,,,,,,,
1533222560,62.012,30.273,43.945,11.719,79.102,,,,,,,,,,,,,,,,
1533222560,44.922,30.273,-97.656,11.23,32.715,,,,,,,,,,,,,,,,
1533222560,28.809,27.832,-110.352,9.277,29.785,,,,,,,,,,,,,,,,
1533222560,36.156,28.809,-73.242,11.23,50.781,,,,,,,,,,,,,,,,
1533222560,57.617,36.133,-17.09,16.113,37.109,,,,,,,,,,,,,,,,
1533222560,74.219,38.574,42.48,27.832,20.02,,,,,,,,,,,,,,,,
1533222560,57.129,33.691,-30.273,34.18,28.32,,,,,,,,,,,,,,,,
1533222560,23.949,29.785,-101.074,13.184,64.941,,,,,,,,,,,,,,,,
1533222560,20.02,33.203,-92.285,9.277,40.527,,,,,,,,,,,,,,,,
1533222560,41.504,33.203,-24.902,15.625,-0.488,,,,,,,,,,,,,,,,
1533222560,51.758,29.785,68.359,14.16,37.598,,,,,,,,,,,,,,,,
1533222560,47.852,34.18,-29.297,21.973,55.176,,,,,,,,,,,,,,,,
1533222560,34.18,36.133,-122.07,17.578,59.57,,,,,,,,,,,,,,,,
1533222560,33.691,34.668,-84.473,12.207,81.543,,,,,,,,,,,,,,,,
1533222560,52.246,36.133,-20.996,20.508,-8.789,,,,,,,,,,,,,,,,
1533222560,62.012,40.039,21.973,21.973,-58.594,,,,,,,,,,,,,,,,
1533222560,51.781,36.133,-81.055,14.648,-9.277,,,,,,,,,,,,,,,,
1533222560,38.574,34.668,-115.234,16.113,37.598,,,,,,,,,,,,,,,,
1533222560,45.41,44.434,-64.941,21.484,18.555,,,,,,,,,,,,,,,,
1533222560,59.57,41.992,21.973,23.438,21.973,,,,,,,,,,,,,,,,
1533222560,68.359,37.598,62.012,21.484,69.824,,,,,,,,,,,,,,,,
1533222560,63.965,48.34,-47.852,20.508,33.203,,,,,,,,,,,,,,,,
1533222560,52.734,52.246,-147.949,20.02,14.16,,,,,,,,,,,,,,,,
1533222560,58.594,53.223,-100.586,18.555,10.742,,,,,,,,,,,,,,,,
1533222560,69.336,53.711,-47.852,21.484,28.32,,,,,,,,,,,,,,,,
1533222560,74.219,49.316,10.742,25.879,12.695,,,,,,,,,,,,,,,,
1533222560,73.73,47.363,24.414,30.273,41.504,,,,,,,,,,,,,,,,
1533222560,62.012,42.969,-127.441,32.227,83.008,,,,,,,,,,,,,,,,
1533222560,54.199,39.062,-127.93,33.203,85.938,,,,,,,,,,,,,,,,
1533222560,69.336,39.551,-56.152,30.762,62.988,,,,,,,,,,,,,,,,
1533222560,91.309,41.016,34.668,34.18,38.086,,,,,,,,,,,,,,,,
1533222560,95.332,39.551,36.621,37.598,-5.859,,,,,,,,,,,,,,,,
1533222560,71.777,39.062,-101.562,36.133,2.441,,,,,,,,,,,,,,,,
1533222560,72.754,37.109,-107.422,35.156,-1.465,,,,,,,,,,,,,,,,
1533222560,87.891,38.086,-22.461,31.25,1.953,,,,,,,,,,,,,,,,
1533222560,103.027,41.504,39.551,32.715,6.348,,,,,,,,,,,,,,,,
1533222560,102.539,34.668,7.812,34.18,3.418,,,,,,,,,,,,,,,,
1533222560,80.078,38.086,-97.168,36.133,41.016,,,,,,,,,,,,,,,,
1533222560,77.637,50.781,-90.82,44.434,-14.16,,,,,,,,,,,,,,,,
1533222560,94.145,61.523,-24.414,50.781,15.137,,,,,,,,,,,,,,,,
1533222560,107.91,66.406,32.227,58.105,87.891,,,,,,,,,,,,,,,,
1533222560,107.91,60.547,51.758,56.152,77.637,,,,,,,,,,,,,,,,
1533222560,96.68,62.012,-34.668,48.828,53.711,,,,,,,,,,,,,,,,
1533222560,86.426,69.336,-73.242,46.875,19.043,,,,,,,,,,,,,,,,
1533222560,82.379,64.453,-64.453,42.48,32.227,,,,,,,,,,,,,,,,
1533222560,105.957,62.012,-4.883,43.945,65.43,,,,,,,,,,,,,,,,
1533222560,113.77,69.336,81.543,49.805,25.391,,,,,,,,,,,,,,,,
1533222560,98.145,70.801,-29.297,55.664,28.32,,,,,,,,,,,,,,,,
1533222560,83.008,64.941,-80.078,49.316,57.129,,,,,,,,,,,,,,,,
1533222560,89.844,62.012,-66.406,40.039,16.602,,,,,,,,,,,,,,,,
1533222560,107.422,62.5,15.625,42.969,9.766,,,,,,,,,,,,,,,,
1533222560,110.352,54.688,41.016,45.898,-4.395,,,,,,,,,,,,,,,,
1533222560,88.379,46.387,-95.215,38.086,-34.668,,,,,,,,,,,,,,,,
1533222560,63.477,41.504,-116.211,32.715,-6.836,,,,,,,,,,,,,,,,
1533222560,64.941,37.598,-58.594,29.785,-8.789,,,,,,,,,,,,,,,,
1533222560,85.449,33.203,-23.438,28.32,-36.621,,,,,,,,,,,,,,,,
1533222560,88.379,29.785,41.016,30.762,-45.898,,,,,,,,,,,,,,,,
1533222560,72.754,28.809,-20.02,26.855,-12.695,,,,,,,,,,,,,,,,
1533222560,64.941,28.32,-128.906,21.973,25.879,,,,,,,,,,,,,,,,
1533222560,60.547,21.973,-99.121,18.555,60.059,,,,,,,,,,,,,,,,
1533222560,62.5,20.02,-14.16,14.648,80.566,,,,,,,,,,,,,,,,
1533222560,72.754,22.461,28.32,16.602,30.762,,,,,,,,,,,,,,,,
1533222560,58.105,19.043,-50.293,15.137,2.93,,,,,,,,,,,,,,,,
1533222560,40.527,16.113,-156.25,11.719,-30.762,,,,,,,,,,,,,,,,
1533222560,47.363,18.066,-117.188,10.742,-30.762,,,,,,,,,,,,,,,,
1533222560,57.617,17.09,-49.316,6.836,22.949,,,,,,,,,,,,,,,,
1533222560,69.824,16.602,20.996,10.742,-0.488,,,,,,,,,,,,,,,,
1533222560,70.312,18.066,34.18,15.625,-2.93,,,,,,,,,,,,,,,,
1533222560,53.223,20.996,-94.727,14.648,37.109,,,,,,,,,,,,,,,,
1533222560,45.41,17.578,-109.863,14.648,19.043,,,,,,,,,,,,,,,,
1533222560,57.617,17.09,-26.855,14.648,2.441,,,,,,,,,,,,,,,,
1533222560,71.289,23.438,41.992,20.508,42.48,,,,,,,,,,,,,,,,
1533222560,67.871,22.461,-21.484,19.043,7.324,,,,,,,,,,,,,,,,
1533222560,44.434,24.414,-111.328,13.672,-14.648,,,,,,,,,,,,,,,,
1533222560,34.668,31.25,-91.797,9.277,60.059,,,,,,,,,,,,,,,,
1533222560,54.688,31.25,-51.758,7.812,52.734,,,,,,,,,,,,,,,,
1533222560,67.871,27.344,11.719,9.766,24.414,,,,,,,,,,,,,,,,
1533222560,62.012,21.484,13.184,7.324,57.617,,,,,,,,,,,,,,,,
1533222560,45.41,25.391,-75.684,9.766,66.895,,,,,,,,,,,,,,,,
1533222560,35.645,34.668,-102.539,12.207,38.574,,,,,,,,,,,,,,,,
1533222560,40.039,32.715,-83.008,8.789,41.016,,,,,,,,,,,,,,,,
1533222560,55.664,31.25,7.324,12.207,37.109,,,,,,,,,,,,,,,,
1533222560,60.547,35.156,36.621,17.578,36.133,,,,,,,,,,,,,,,,
1533222560,46.387,33.691,-109.863,13.184,-17.09,,,,,,,,,,,,,,,,
1533222560,31.25,29.297,-94.727,0.977,-75.195,,,,,,,,,,,,,,,,
1533222560,36.133,30.273,-49.805,4.395,75.195,,,,,,,,,,,,,,,,
1533222560,58.594,32.227,-0.488,13.672,134.766,,,,,,,,,,,,,,,,
1533222560,63.965,24.902,56.641,25.391,32.227,,,,,,,,,,,,,,,,
1533222560,57.129,20.508,-97.168,35.645,-3.906,,,,,,,,,,,,,,,,
1533222560,44.922,33.203,-113.77,19.043,23.438,,,,,,,,,,,,,,,,
1533222560,44.434,40.039,-45.898,0.977,28.809,,,,,,,,,,,,,,,,
1533222560,66.895,39.062,28.32,4.883,0.488,,,,,,,,,,,,,,,,
1533222560,79.102,39.551,49.805,11.23,-5.859,,,,,,,,,,,,,,,,
1533222560,67.871,39.551,-58.105,7.324,46.387,,,,,,,,,,,,,,,,
1533222560,59.082,42.48,-107.91,12.207,80.566,,,,,,,,,,,,,,,,
1533222560,69.824,41.504,-84.473,20.508,73.73,,,,,,,,,,,,,,,,
1533222560,91.309,41.992,-15.137,27.344,52.734,,,,,,,,,,,,,,,,
1533222560,92.773,43.457,63.477,28.809,48.828,,,,,,,,,,,,,,,,
1533222560,74.219,38.574,-8.789,21.973,47.852,,,,,,,,,,,,,,,,
1533222560,71.289,35.156,-108.398,29.297,89.844,,,,,,,,,,,,,,,,
1533222560,80.566,33.691,-100.098,41.016,43.945,,,,,,,,,,,,,,,,
1533222560,93.262,28.809,-30.762,40.039,6.836,,,,,,,,,,,,,,,,
1533222560,95.703,28.809,61.523,40.527,45.898,,,,,,,,,,,,,,,,
1533222560,89.844,30.762,9.277,43.945,56.152,,,,,,,,,,,,,,,,
1533222560,75.684,29.785,-115.723,40.039,20.996,,,,,,,,,,,,,,,,
1533222560,74.707,35.645,-86.426,39.062,0.488,,,,,,,,,,,,,,,,
1533222560,89.355,33.691,12.695,41.504,3.906,,,,,,,,,,,,,,,,
1533222560,91.309,26.855,66.406,41.504,0,,,,,,,,,,,,,,,,
1533222560,90.332,26.367,-8.789,38.086,32.715,,,,,,,,,,,,,,,,
1533222560,79.102,28.809,-115.234,32.227,12.695,,,,,,,,,,,,,,,,
1533222560,67.871,27.344,-75.195,26.367,37.598,,,,,,,,,,,,,,,,
1533222560,76.172,27.344,4.883,26.367,15.137,,,,,,,,,,,,,,,,
1533222560,92.285,27.344,36.621,31.738,-41.992,,,,,,,,,,,,,,,,
1533222560,91.309,24.414,-2.441,33.203,-43.945,,,,,,,,,,,,,,,,
1533222560,70.312,21.484,-76.66,29.785,-34.668,,,,,,,,,,,,,,,,
1533222560,66.895,22.949,-63.477,31.25,-74.219,,,,,,,,,,,,,,,,
1533222560,72.266,24.902,-48.828,33.691,-42.969,,,,,,,,,,,,,,,,
1533222560,77.637,23.926,38.086,32.715,28.809,,,,,,,,,,,,,,,,
1533222560,74.219,24.414,73.242,31.25,17.09,,,,,,,,,,,,,,,,
1533222560,58.594,26.855,-85.938,31.738,-5.859,,,,,,,,,,,,,,,,
1533222560,48.828,24.902,-82.52,30.762,25.391,,,,,,,,,,,,,,,,
